Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-08-14;1.286,90;1.289,49;1.278,77;1.281,23;;
2017-08-11;1.286,81;1.291,56;1.281,91;1.290,38;;
2017-08-10;1.277,45;1.287,76;1.274,78;1.286,36;;
2017-08-09;1.261,17;1.278,62;1.261,04;1.277,36;;
2017-08-08;1.257,62;1.265,1;1.251,79;1.255,19;;
2017-08-07;1.258,20;1.259,96;1.256,07;1.257,84;;
2017-08-04;1.268,78;1.270,20;1.254,56;1.259,2;;
2017-08-03;1.266,56;1.270,32;1.259,77;1.268,5;;
2017-08-02;1.268,94;1.272,72;1.263,65;1.266,65;;
2017-08-01;1.269,45;1.273,89;1.264,85;1.268,93;;
2017-07-31;1.269,1;1.270,34;1.266,17;1.269,48;;
2017-07-28;1.259,07;1.270,45;1.257,69;1.268,89;;
2017-07-27;1.260,46;1.265,1;1.255,49;1.258,76;;
2017-07-26;1.250,18;1.263,04;1.244,1;1.260,94;;
2017-07-25;1.255,18;1.257,63;1.249,18;1.250;;
2017-07-24;1.255,87;1.258,49;1.252,11;1.255,25;;
2017-07-21;1.244,44;1.255,61;1.243,57;1.254,79;;
2017-07-20;1.241,35;1.247,51;1.235,51;1.243,92;;
2017-07-19;1.242,90;1.243,82;1.237,17;1.241,14;;
2017-07-18;1.233,86;1.244,31;1.232,97;1.242,51;;
2017-07-17;1.230,83;1.235,89;1.229,74;1.234,16;;
2017-07-14;1.217,35;1.232,36;1.215,31;1.228,90;;
2017-07-13;1.219,71;1.224,4;1.217,06;1.217,41;;
2017-07-12;1.217,02;1.225,16;1.214,9;1.220,43;;
2017-07-11;1.214,49;1.217,46;1.208,42;1.217,43;;
2017-07-10;1.213,55;1.214,88;1.205,39;1.212,19;;
2017-07-07;1.225,19;1.226,54;1.207,87;1.212,39;;
2017-07-06;1.226,94;1.229,18;1.222,8;1.225,16;;
2017-07-05;1.224,01;1.228,9;1.217,63;1.226;;
2017-07-04;1.222,05;1.226,17;1.220,82;1.223,23;;
2017-07-03;1.240,14;1.240,14;1.218,92;1.220,37;;
2017-06-30;1.245,4;1.248,2;1.240,32;1.241,49;;
2017-06-29;1.249,56;1.253,2;1.240,08;1.245,34;;
2017-06-28;1.246,78;1.254;1.246,78;1.249,79;;
2017-06-27;1.244,52;1.252,70;1.241,47;1.247,12;;
2017-06-26;1.255,84;1.256,15;1.237,15;1.242,61;;
2017-06-23;1.250,76;1.258,81;1.250,03;1.256,70;;
2017-06-22;1.246,01;1.254,66;1.246,01;1.250,49;;
2017-06-21;1.243,04;1.247,86;1.241,56;1.246,57;;
2017-06-20;1.243,9;1.248,05;1.241,40;1.242,65;;
2017-06-19;1.252,86;1.253,52;1.243,31;1.243,71;;
2017-06-16;1.254,48;1.257,17;1.251,99;1.253,99;;
2017-06-15;1.260,43;1.266,46;1.251,97;1.254,36;;
2017-06-14;1.266,82;1.279,31;1.257,47;1.261,24;;
2017-06-13;1.265,54;1.266,98;1.260;1.265,16;;
2017-06-12;1.269,75;1.270,23;1.263,75;1.266,08;;
2017-06-09;1.280,37;1.280,84;1.265,32;1.267,31;;
2017-06-08;1.287,05;1.288,9;1.271,87;1.277,99;;
2017-06-07;1.294,76;1.294,76;1.284,93;1.285,88;;
2017-06-06;1.279,8;1.295,47;1.279,8;1.292,39;;
2017-06-05;1.280,33;1.283,20;1.278,19;1.279,19;;
2017-06-02;1.266,13;1.279,36;1.259,74;1.279,36;;
2017-06-01;1.268,97;1.270,31;1.261,86;1.265,9;;
2017-05-31;1.263,34;1.273,47;1.259,71;1.269,23;;
2017-05-30;1.266,81;1.270,40;1.259,84;1.262,99;;
2017-05-29;1.266,90;1.267,85;1.265,48;1.266,9;;
2017-05-26;1.255,55;1.269,53;1.253,84;1.267,2;;
2017-05-25;1.258,46;1.259,56;1.254,2;1.255,61;;
2017-05-24;1.251,55;1.258,94;1.248,1;1.258,56;;
2017-05-23;1.260,28;1.263,85;1.250,86;1.251,17;;
2017-05-22;1.254,98;1.262,54;1.251,96;1.260,46;;
2017-05-19;1.246,5;1.256,34;1.246,48;1.255,54;;
2017-05-18;1.261,36;1.264,71;1.246,51;1.247,02;;
2017-05-17;1.236,88;1.261,29;1.236,75;1.261,29;;
2017-05-16;1.231,48;1.239,01;1.230,56;1.236,84;;
2017-05-15;1.228,32;1.237,09;1.227,22;1.230,37;;
2017-05-12;1.225,2;1.231,8;1.224,6;1.228,25;;
2017-05-11;1.219,04;1.227,2;1.217,85;1.224,84;;
2017-05-10;1.221,72;1.225,54;1.217,76;1.219,06;;
2017-05-09;1.226,32;1.228,64;1.214,65;1.221,12;;
2017-05-08;1.232,62;1.236,39;1.225,82;1.225,82;;
2017-05-05;1.228,29;1.235,34;1.226,39;1.228,6;;
2017-05-04;1.238,69;1.241,34;1.225,92;1.227,7;;
2017-05-03;1.256,88;1.256,89;1.236,22;1.238,90;;
2017-05-02;1.256,26;1.257,57;1.252,11;1.256,45;;
2017-05-01;1.267,46;1.268,53;1.254,51;1.256,76;;
2017-04-28;1.264,3;1.268,52;1.263,52;1.268,03;;
2017-04-27;1.268,91;1.269,51;1.261,79;1.264,31;;
2017-04-26;1.263,82;1.270,4;1.260,62;1.268,82;;
2017-04-25;1.276,89;1.278,13;1.262,4;1.263,68;;
2017-04-24;1.272,97;1.277,26;1.267,09;1.275,41;;
2017-04-21;1.281,93;1.287,84;1.278,70;1.284,5;;
2017-04-20;1.279,84;1.283,12;1.277,03;1.281,88;;
2017-04-19;1.289,81;1.290,75;1.275,67;1.280,03;;
2017-04-18;1.285,13;1.292,3;1.280,06;1.289,42;;
2017-04-17;1.294,33;1.294,36;1.281,97;1.284,79;;
2017-04-14;1.287,65;1.287,65;1.287,65;1.287,65;;
2017-04-13;1.286,12;1.288,67;1.282,23;1.287,65;;
2017-04-12;1.274,42;1.286,82;1.272,6;1.286,52;;
2017-04-11;1.255,35;1.275,19;1.253,40;1.274,44;;
2017-04-10;1.252,92;1.256,66;1.247,81;1.254,79;;
2017-04-07;1.252,17;1.270,74;1.250,76;1.255,21;;
2017-04-06;1.256,39;1.258,97;1.250,27;1.251,86;;
2017-04-05;1.256,15;1.257,33;1.244,07;1.255,5;;
2017-04-04;1.254,91;1.261,21;1.254,15;1.256,25;;
2017-04-03;1.248,62;1.253,6;1.244,78;1.253,45;;
2017-03-31;1.243,46;1.250,18;1.240,03;1.248,29;;
2017-03-30;1.253,46;1.253,9;1.242,78;1.243,25;;
2017-03-29;1.251,42;1.254,26;1.247,66;1.253,48;;
2017-03-28;1.253,67;1.258,31;1.248,04;1.251,55;;
2017-03-27;1.255,57;1.260,99;1.252,89;1.254,52;;
2017-03-24;1.244,82;1.251,72;1.241,16;1.245,33;;
2017-03-23;1.247,24;1.252,89;1.243,14;1.244,93;;
2017-03-22;1.246,02;1.251,36;1.244,28;1.247,61;;
2017-03-21;1.234,6;1.247,57;1.227,06;1.246,04;;
2017-03-20;1.233,46;1.235,51;1.230,35;1.234,23;;
2017-03-17;1.226,77;1.231,58;1.224,71;1.229,4;;
2017-03-16;1.219,51;1.233,29;1.218,84;1.227,03;;
2017-03-15;1.198,99;1.221,86;1.198,07;1.219,28;;
2017-03-14;1.202,12;1.207,45;1.197,62;1.199,3;;
2017-03-13;1.205,33;1.211,11;1.201,82;1.203;;
2017-03-10;1.200,69;1.205,91;1.195,27;1.204,57;;
2017-03-09;1.208,23;1.209,06;1.199,51;1.200,96;;
2017-03-08;1.215,76;1.218,38;1.206,9;1.208,19;;
2017-03-07;1.225,46;1.227,20;1.214,39;1.215,81;;
2017-03-06;1.233,70;1.234,84;1.225,02;1.225,56;;
2017-03-03;1.234,58;1.236,07;1.223,4;1.234,62;;
2017-03-02;1.250,06;1.250,06;1.231,3;1.234,35;;
2017-03-01;1.248,13;1.250,47;1.237,27;1.249,62;;
2017-02-28;1.252,47;1.258,2;1.247,99;1.248,23;;
2017-02-27;1.257,87;1.263,74;1.251,23;1.252,84;;
2017-02-24;1.249,38;1.260,05;1.248,01;1.256,98;;
2017-02-23;1.237,57;1.250,87;1.235,93;1.249,37;;
2017-02-22;1.236,19;1.240,3;1.231,94;1.237,41;;
2017-02-21;1.237,68;1.238,83;1.226,35;1.235,95;;
2017-02-20;1.234,51;1.238,84;1.232,96;1.237,67;;
2017-02-17;1.239,14;1.243,62;1.234,6;1.234,95;;
2017-02-16;1.233,61;1.242,16;1.232,2;1.239,3;;
2017-02-15;1.227,62;1.233,42;1.217,45;1.233,42;;
2017-02-14;1.225,49;1.234,35;1.222,13;1.228,5;;
2017-02-13;1.231;1.232,26;1.219,77;1.225,53;;
2017-02-10;1.228,36;1.236,9;1.221,87;1.233,38;;
2017-02-09;1.241,4;1.243,97;1.228,46;1.229,11;;
2017-02-08;1.233,75;1.244,79;1.230,46;1.241,52;;
2017-02-07;1.234,96;1.235,69;1.228,07;1.233,95;;
2017-02-06;1.224,27;1.235,64;1.221,88;1.235,52;;
2017-02-03;1.215,87;1.221,18;1.210,92;1.220,28;;
2017-02-02;1.209,43;1.225,12;1.208,5;1.215,97;;
2017-02-01;1.210,82;1.213,21;1.198,37;1.209,85;;
2017-01-31;1.195,69;1.215,26;1.194,31;1.210,59;;
2017-01-30;1.195,32;1.199,16;1.188,49;1.195,53;;
2017-01-27;1.189,27;1.191,68;1.181,21;1.191,58;;
2017-01-26;1.201,32;1.202,48;1.184,64;1.188,66;;
2017-01-25;1.209,31;1.209,7;1.195,65;1.200,61;;
2017-01-24;1.219,21;1.219,42;1.206,92;1.209,07;;
2017-01-23;1.217,96;1.219,46;1.210,11;1.218,14;;
2017-01-20;1.204,65;1.214,35;1.199,07;1.208,99;;
2017-01-19;1.203,6;1.206,52;1.196,23;1.204,79;;
2017-01-18;1.217,36;1.217,36;1.202,63;1.204,19;;
2017-01-17;1.203,18;1.218,34;1.202,91;1.216,93;;
2017-01-16;1.201,37;1.207,62;1.200,96;1.202,97;;
2017-01-13;1.195,12;1.200,67;1.188,39;1.197,46;;
2017-01-12;1.191,22;1.206,8;1.191,22;1.195,62;;
2017-01-11;1.187,88;1.197,92;1.177,73;1.191,65;;
2017-01-10;1.181,62;1.190,44;1.180,34;1.187,77;;
2017-01-09;1.175,51;1.185,69;1.173,07;1.181,03;;
2017-01-06;1.180,55;1.181,41;1.171,11;1.172,55;;
2017-01-05;1.163,97;1.184,79;1.163,24;1.180,32;;
2017-01-04;1.158,68;1.167,6;1.156,40;1.163,37;;
2017-01-03;1.150,55;1.163,03;1.146,44;1.158,94;;
2017-01-02;1.152,4;1.152,4;1.152,4;1.152,4;;
2016-12-30;1.158,40;1.163,13;1.150,07;1.152,4;;
2016-12-29;1.142,22;1.159,18;1.141,97;1.157,96;;
2016-12-28;1.138,54;1.144,54;1.136,89;1.141,62;;
2016-12-27;1.134,15;1.149,25;1.131,89;1.138,86;;
2016-12-26;1.133,85;1.133,85;1.133,85;1.133,85;;
2016-12-23;1.128,41;1.135,51;1.128,36;1.133,85;;
2016-12-22;1.131,55;1.133,94;1.128,11;1.128,91;;
2016-12-21;1.132,6;1.137,15;1.129,7;1.131,43;;
2016-12-20;1.138,41;1.139,66;1.126,27;1.132,33;;
2016-12-19;1.138,79;1.142,33;1.137,16;1.138,36;;
2016-12-16;1.128,89;1.140,84;1.126,81;1.134,75;;
2016-12-15;1.142,84;1.144,28;1.123,16;1.128,32;;
2016-12-14;1.158,54;1.164,99;1.139,8;1.143,41;;
2016-12-13;1.162,98;1.164,67;1.154,81;1.158,28;;
2016-12-12;1.156,77;1.165,79;1.152,34;1.162,4;;
2016-12-09;1.170,99;1.172,01;1.156,65;1.160,35;;
2016-12-08;1.174,74;1.178,56;1.169,59;1.170,69;;
2016-12-07;1.169,81;1.180,11;1.165,96;1.174,02;;
2016-12-06;1.170,71;1.175,28;1.167,2;1.169,86;;
2016-12-05;1.173,53;1.177,89;1.157,88;1.170,39;;
2016-12-02;1.171,81;1.177,9;1.167,4;1.177,27;;
2016-12-01;1.173,63;1.176,71;1.161,44;1.171,67;;
2016-11-30;1.188,67;1.194,94;1.171,37;1.173,35;;
2016-11-29;1.194,2;1.194,96;1.181,56;1.188,36;;
2016-11-28;1.195,69;1.197,67;1.183,56;1.193,37;;
2016-11-25;1.184,95;1.192,81;1.171,66;1.182,75;;
2016-11-24;1.188,44;1.190,31;1.181,96;1.184,14;;
2016-11-23;1.213,17;1.214,95;1.182,09;1.188,08;;
2016-11-22;1.213,97;1.221,01;1.206,83;1.212,43;;
2016-11-21;1.212,59;1.217,64;1.209,48;1.214,23;;
2016-11-18;1.216,8;1.217,83;1.204,03;1.208,18;;
2016-11-17;1.224,98;1.231,18;1.211,6;1.216,2;;
2016-11-16;1.229,27;1.232,72;1.221,61;1.225,07;;
2016-11-15;1.222,29;1.231,27;1.219,85;1.228,77;;
2016-11-14;1.218,75;1.228,31;1.211,96;1.221,22;;
2016-11-11;1.259,14;1.265,4;1.220,68;1.227,65;;
2016-11-10;1.278,01;1.291,83;1.253,27;1.259,14;;
2016-11-09;1.275,63;1.336,32;1.269,66;1.277,78;;
2016-11-08;1.282,3;1.290,13;1.273,3;1.275,64;;
2016-11-07;1.293,56;1.293,56;1.278,45;1.281,66;;
2016-11-04;1.304,13;1.306,52;1.295,01;1.304,81;;
